Laker-Raw-reads-per-sample Reads-after-filtering-per-sample Veg.<2m IdentifiableVeg.<2m Tot.DNA eDNAmatchVeg. %Veg.<2mdetectedineDNA %eDNAdetectedinVeg. Additionalidentifiableextendedsurveys AdditionaleDNAVegmatchextendedsurvey
A-tjern 706954 280277 56 51 30 25 49 83 14 1
Brennskogtjønna 919672 584537 75 58 23 17 29 74 15 2
Einletvatnet 700805 411923 59 50 27 22 44 82 18 1
Finnvatnet 516878 31288 47 40 16 10 25 63 13 3
Gauptjern 673977 279752 47 45 22 17 38 77 18 3
JulaJa´vri 669351 161871 36 31 11 4 13 36 31 2
Lakselvhøgda 613386 4880 41 37 10 9 24 90 14 1
Lauvås 250979 3453 44 41 12 7 17 58 27 5
ØvreÆråsvatnet 744618 340976 64 54 24 20 37 83 40 2
PaulanJa´vri 747665 178532 43 40 17 10 25 59 34 2
Rottjern 580970 222649 47 42 25 17 41 68 24 3
