Lakes District Habitattype Catchmentarea(km2) Alt.(ma.s.l.) Lakesize(ha) Waterdepth(m) Yearlymean(˚C) Summermean(˚C) Yearlyprec.(mm) Inlets Nlat. Elat.
A-tjerna Dividalen Mixedforest/mire,tallherbs 0.17 125 1.70 5.5 -0.8 6.9 636 3 68.996 19.486
Brennskogtjønna Dividalen Pineforest,heath 1.20 311 10.64 20.0 -0.9 6.4 457 2 68.859 19.594
Einletvatnet Andøya Mires,patchesofbirchforest 1.26 35 27.00 4 3.7 8.8 1025 5minor 69.258 16.071
Finnvatnet Kvaløya Birchforest/mire 0.20 158 0.86 2.0 2.7 7.9 1005 3–4minor 69.778 18.612
Gauptjern Dividalen Sub-alpinemixedforest,tallandlowherbs 0.07 400 0.79 4.0 -0.9 6.5 451 2 68.856 19.618
JulaJa´vric Kåfjorddalen Alpineheathandmire 1.05 791 0.04 1.7 -3.6 3.9 670 2–5minor 69.365 21.099
Lakselvhøgda Ringvassøya Alpineheathandmire,scatteredbirchforest 0.06 143 0.77 2.0 2.5 7.2 977 0 69.927 18.846
Lauvås Ringvassøya Heath,mireandmesicherbbirchforest 0.41 4 0.71 3.3 2.7 7.5 971 2 69.946 18.860
ØvreÆråsvatnet Andøya Miresandbirchforest,conifersplanted 3.60 43 24.00 9.5 3.4 8.3 1027 3 69.256 16.034
PaulanJa´vri Kåfjorddalen Alpineheath 0.56 746 0.22 2.0 -3.7 3.7 662 1+1minor 69.399 21.015
Rottjernb Dividalen Mixedforest,tallherbs 0.96 126 1.91 3.0 -0.3 7.6 619 2 68.983 19.477
